t,theta_deg,force_N,pin_radial_mm,pin_axial_mm,pen_travel_mm,pen_seat_mm,pen_stop_mm,pen_interface_mm
0.000500,0.000000,0.000000,0.020727,0.019339,0.000000,0.018361,0.000000,0.000000
0.001000,0.000000,0.000055,0.019764,0.019339,0.000000,0.013817,0.000000,0.000000
0.001500,0.000000,0.000110,0.017079,0.019339,0.000000,0.010397,0.000000,0.000000
0.002000,-0.000000,0.000165,0.013674,0.019339,0.000000,0.007824,0.000000,0.000000
0.002500,-0.000000,0.000220,0.012911,0.019339,0.000000,0.005888,0.000000,0.000000
0.003000,-0.000000,0.000275,0.018898,0.019339,0.000000,0.004432,0.000000,0.000000
0.003500,-0.000000,0.000330,0.030343,0.019339,0.000000,0.003337,0.000000,0.000000
0.004000,-0.000000,0.000385,0.045342,0.019339,0.000000,0.002513,0.000000,0.000000
0.004500,-0.000000,0.000440,0.063224,0.019339,0.000000,0.001892,0.000000,0.000000
0.005000,-0.000001,0.000495,0.083759,0.019339,0.000000,0.001426,0.000000,0.000000
0.005500,-0.000001,0.000550,0.106852,0.019339,0.000000,0.001075,0.000000,0.000000
0.006000,-0.000001,0.000605,0.132460,0.019339,0.000000,0.000810,0.000000,0.000000
0.006500,-0.000001,0.000660,0.160560,0.019339,0.000000,0.000612,0.000000,0.000000
0.007000,-0.000001,0.000715,0.191137,0.019339,0.000000,0.000462,0.000000,0.000000
0.007500,-0.000001,0.000770,0.224185,0.019339,0.000000,0.000350,0.000000,0.031592
0.008000,0.000000,0.000825,0.216392,0.019338,0.000000,0.000265,0.000000,0.023787
0.008500,0.000000,0.000880,0.210483,0.019338,0.000000,0.000201,0.000000,0.017874
0.009000,-0.000000,0.000935,0.206044,0.019341,0.000000,0.000153,0.000000,0.013432
0.009500,-0.000000,0.000990,0.202709,0.019345,0.000000,0.000117,0.000000,0.010096
0.010000,-0.000000,0.001045,0.200200,0.019343,0.000000,0.000090,0.000000,0.007580
0.010500,-0.000000,0.001100,0.198316,0.019345,0.000000,0.000069,0.000000,0.005711
0.011000,-0.000000,0.001155,0.196898,0.019343,0.000000,0.000054,0.000000,0.004302
0.011500,-0.000000,0.001210,0.195834,0.019345,0.000000,0.000043,0.000000,0.003248
0.012000,-0.000000,0.001265,0.195034,0.019343,0.000000,0.000034,0.000000,0.002450
0.012500,-0.000000,0.001320,0.194434,0.019342,0.000000,0.000027,0.000000,0.001855
0.013000,-0.000000,0.001375,0.193984,0.019343,0.000000,0.000022,0.000000,0.001403
0.013500,-0.000000,0.001430,0.193647,0.019342,0.000000,0.000019,0.000000,0.001067
0.014000,-0.000000,0.001485,0.193395,0.019344,0.000000,0.000016,0.000000,0.000811
0.014500,-0.000000,0.001540,0.193208,0.019342,0.000000,0.000014,0.000000,0.000621
0.015000,-0.000000,0.001595,0.193069,0.019344,0.000000,0.000012,0.000000,0.000477
0.015500,-0.000000,0.001650,0.192966,0.019342,0.000000,0.000011,0.000000,0.000369
0.016000,-0.000000,0.001705,0.192891,0.019344,0.000000,0.000010,0.000000,0.000288
0.016500,-0.000000,0.001760,0.192839,0.019344,0.000000,0.000009,0.000000,0.000229
