t,theta_deg,force_N,pin_radial_mm,pin_axial_mm,pen_general_mm,pen_interface_mm
0.000500,0.000000,0.000000,0.020727,0.019339,0.018361,0.000000
0.001000,0.000000,0.000075,0.022871,0.019339,0.013815,0.000000
0.001500,-0.000001,0.000150,0.019171,0.019339,0.010401,0.000000
0.002000,-0.000001,0.000225,0.014689,0.019339,0.007828,0.000000
0.002500,-0.000001,0.000300,0.012622,0.019339,0.005892,0.000000
0.003000,-0.000001,0.000375,0.017993,0.019339,0.004435,0.000000
0.003500,-0.000001,0.000450,0.029498,0.019339,0.003340,0.000000
0.004000,-0.000001,0.000525,0.044667,0.019339,0.002515,0.000000
0.004500,-0.000001,0.000600,0.062704,0.019339,0.001895,0.000000
0.005000,-0.000001,0.000675,0.083363,0.019339,0.001429,0.000000
0.005500,-0.000001,0.000750,0.106551,0.019339,0.001078,0.000000
0.006000,-0.000001,0.000825,0.132231,0.019339,0.000814,0.000000
0.006500,-0.000001,0.000900,0.160386,0.019339,0.000615,0.000000
0.007000,-0.000001,0.000975,0.191005,0.019339,0.000465,0.000000
0.007500,-0.000001,0.001050,0.224084,0.019339,0.000353,0.031489
0.008000,0.000000,0.001125,0.216317,0.019337,0.000268,0.023711
0.008500,-0.000000,0.001200,0.210428,0.019338,0.000204,0.017816
0.009000,-0.000000,0.001275,0.206003,0.019341,0.000156,0.013389
0.009500,-0.000000,0.001350,0.202679,0.019345,0.000120,0.010064
0.010000,-0.000000,0.001425,0.200179,0.019342,0.000093,0.007557
0.010500,-0.000000,0.001500,0.198300,0.019344,0.000073,0.005691
0.011000,-0.000001,0.001575,0.196887,0.019342,0.000058,0.004288
0.011500,-0.000001,0.001650,0.195827,0.019344,0.000046,0.003237
0.012000,-0.000001,0.001725,0.195029,0.019343,0.000037,0.002442
0.012500,-0.000001,0.001800,0.194432,0.019344,0.000031,0.001849
0.013000,-0.000000,0.001875,0.193983,0.019343,0.000026,0.001398
0.013500,-0.000001,0.001950,0.193647,0.019345,0.000022,0.001064
0.014000,-0.000000,0.002025,0.193395,0.019343,0.000019,0.000807
0.014500,-0.000000,0.002100,0.193209,0.019345,0.000017,0.000620
0.015000,-0.000000,0.002175,0.193069,0.019343,0.000016,0.000473
0.015500,-0.000000,0.002250,0.192967,0.019342,0.000014,0.000369
0.016000,-0.000000,0.002325,0.192892,0.019343,0.000014,0.000285
0.016500,-0.000000,0.002400,0.192841,0.019343,0.000013,0.000227
0.017000,-0.000000,0.002475,0.192805,0.019343,0.000012,0.000184
0.017500,-0.000000,0.002550,0.192776,0.019345,0.000012,0.000151
0.018000,-0.000000,0.002625,0.192760,0.019345,0.000012,0.000127
0.018500,-0.000000,0.002700,0.192750,0.019345,0.000011,0.000108
0.019000,-0.000000,0.002775,0.192744,0.019344,0.000011,0.000094
0.019500,-0.000000,0.002850,0.192742,0.019344,0.000011,0.000083
0.020000,-0.000000,0.002925,0.192741,0.019345,0.000011,0.000076
0.020500,-0.000000,0.003000,0.192741,0.019344,0.000011,0.000063
0.021000,-0.000000,0.003075,0.192739,0.019344,0.000011,0.000075
0.021500,-0.000000,0.003150,0.192735,0.019344,0.000011,0.000064
0.022000,-0.000000,0.003225,0.192732,0.019344,0.000011,0.000050
0.022500,-0.000000,0.003300,0.192734,0.019344,0.000011,0.000046
0.023000,-0.000000,0.003375,0.192735,0.019343,0.000011,0.000043
0.023500,-0.000000,0.003450,0.192737,0.019343,0.000011,0.000037
0.024000,-0.000001,0.003525,0.192740,0.019343,0.000011,0.000030
0.024500,-0.000001,0.003600,0.192744,0.019343,0.000011,0.000021
0.025000,-0.000001,0.003675,0.192749,0.019343,0.000011,0.000019
0.025500,-0.000001,0.003750,0.192756,0.019343,0.000011,0.000017
0.026000,-0.000001,0.003825,0.192763,0.019344,0.000011,0.000016
0.026500,-0.000001,0.003900,0.192770,0.019344,0.000011,0.000015
0.027000,-0.000001,0.003975,0.192777,0.019344,0.000011,0.000014
0.027500,-0.000001,0.004050,0.192784,0.019344,0.000011,0.000013
0.028000,-0.000001,0.004125,0.192792,0.019344,0.000011,0.000012
0.028500,-0.000001,0.004200,0.192799,0.019344,0.000011,0.000011
0.029000,-0.000001,0.004275,0.192807,0.019344,0.000011,0.000011
0.029500,-0.000000,0.004350,0.192815,0.019344,0.000011,0.000011
0.030000,-0.000000,0.004425,0.192823,0.019344,0.000011,0.000011
0.030500,-0.000000,0.004500,0.192830,0.019344,0.000011,0.000011
0.031000,-0.000000,0.004575,0.192838,0.019344,0.000011,0.000011
0.031500,-0.000000,0.004650,0.192846,0.019344,0.000011,0.000011
0.032000,-0.000000,0.004725,0.192853,0.019344,0.000011,0.000011
0.032500,-0.000000,0.004800,0.192861,0.019344,0.000011,0.000011
0.033000,-0.000000,0.004875,0.192868,0.019344,0.000011,0.000011
0.033500,-0.000000,0.004950,0.192876,0.019345,0.000011,0.000011
0.034000,-0.000000,0.005025,0.192883,0.019345,0.000011,0.000011
0.034500,-0.000000,0.005100,0.192891,0.019345,0.000011,0.000011
0.035000,-0.000000,0.005175,0.192898,0.019345,0.000010,0.000011
0.035500,-0.000000,0.005250,0.192906,0.019345,0.000010,0.000011
0.036000,-0.000000,0.005325,0.192913,0.019345,0.000010,0.000011
0.036500,-0.000000,0.005400,0.192920,0.019345,0.000010,0.000011
0.037000,-0.000000,0.005475,0.192928,0.019345,0.000010,0.000012
0.037500,-0.000000,0.005550,0.192935,0.019345,0.000010,0.000012
0.038000,-0.000000,0.005625,0.192942,0.019345,0.000010,0.000012
0.038500,-0.000000,0.005700,0.192950,0.019345,0.000010,0.000012
0.039000,-0.000000,0.005775,0.192957,0.019345,0.000010,0.000012
0.039500,-0.000000,0.005850,0.192964,0.019345,0.000010,0.000012
0.040000,-0.000000,0.005925,0.192972,0.019345,0.000010,0.000012
0.040500,-0.000000,0.006000,0.192979,0.019345,0.000010,0.000012
0.041000,-0.000000,0.006075,0.192986,0.019345,0.000010,0.000012
0.041500,-0.000000,0.006150,0.192994,0.019345,0.000010,0.000012
0.042000,-0.000000,0.006225,0.193001,0.019345,0.000010,0.000012
0.042500,-0.000000,0.006300,0.193008,0.019345,0.000010,0.000012
0.043000,-0.000000,0.006375,0.193016,0.019345,0.000010,0.000012
0.043500,-0.000000,0.006450,0.193023,0.019345,0.000010,0.000012
0.044000,-0.000000,0.006525,0.193031,0.019345,0.000010,0.000013
0.044500,-0.000000,0.006600,0.193038,0.019345,0.000010,0.000013
0.045000,-0.000000,0.006675,0.193045,0.019345,0.000010,0.000013
0.045500,-0.000000,0.006750,0.193053,0.019345,0.000010,0.000013
0.046000,-0.000000,0.006825,0.193061,0.019345,0.000010,0.000013
0.046500,-0.000000,0.006900,0.193068,0.019345,0.000010,0.000013
0.047000,-0.000000,0.006975,0.193076,0.019345,0.000010,0.000013
0.047500,-0.000000,0.007050,0.193083,0.019345,0.000010,0.000013
0.048000,-0.000000,0.007125,0.193091,0.019345,0.000010,0.000013
0.048500,-0.000000,0.007200,0.193099,0.019345,0.000010,0.000013
0.049000,-0.000000,0.007275,0.193107,0.019345,0.000010,0.000013
0.049500,-0.000000,0.007350,0.193114,0.019345,0.000010,0.000013
0.050000,-0.000000,0.007425,0.193122,0.019345,0.000010,0.000013
0.050500,0.000000,0.007500,0.193130,0.019345,0.000010,0.000013
0.051000,0.000000,0.007575,0.193138,0.019346,0.000010,0.000014
0.051500,0.000000,0.007650,0.193146,0.019346,0.000010,0.000014
0.052000,0.000000,0.007725,0.193155,0.019346,0.000010,0.000014
0.052500,0.000000,0.007800,0.193163,0.019346,0.000010,0.000014
0.053000,0.000000,0.007875,0.193171,0.019346,0.000010,0.000014
